Date,Clicks,Impressions,CTR,Position
2026-02-15,0,0,,
2026-02-16,0,1,0%,2
2026-02-17,0,2,0%,3
2026-02-18,0,8,0%,6.4
2026-02-19,0,3,0%,6
2026-02-20,0,3,0%,6.3
2026-02-21,0,4,0%,7.2
2026-02-22,0,3,0%,5
2026-02-23,0,3,0%,4.3
2026-02-24,0,9,0%,4.7
2026-02-25,0,4,0%,5
2026-02-26,0,5,0%,4.4
2026-02-27,1,5,20%,2.6
2026-02-28,0,1,0%,4
2026-03-01,0,0,,
2026-03-02,0,5,0%,3.8
2026-03-03,0,3,0%,9.3
2026-03-04,0,1,0%,5
2026-03-05,0,0,,
2026-03-06,0,5,0%,2.4
2026-03-07,0,1,0%,1
2026-03-08,0,13,0%,31.1
2026-03-09,0,10,0%,1.1
2026-03-10,0,0,,
2026-03-11,0,0,,
2026-03-12,0,0,,
2026-03-13,0,0,,
2026-03-14,0,0,,
2026-03-15,0,0,,
2026-03-16,0,0,,
2026-03-17,0,0,,
2026-03-18,0,1,0%,1
2026-03-19,0,0,,
2026-03-20,0,0,,
2026-03-21,0,1,0%,10
2026-03-22,0,0,,
2026-03-23,0,0,,
2026-03-24,0,0,,
2026-03-25,0,0,,
2026-03-26,0,2,0%,11
2026-03-27,0,3,0%,7.3
2026-03-28,0,0,,
2026-03-29,0,2,0%,4.5
2026-03-30,0,0,,
2026-03-31,0,0,,
2026-04-01,0,0,,
2026-04-02,0,0,,
2026-04-03,0,0,,
2026-04-04,0,0,,
2026-04-05,0,0,,
2026-04-06,0,0,,
2026-04-07,0,3,0%,17
2026-04-08,0,0,,
2026-04-09,0,0,,
2026-04-10,0,1,0%,5
2026-04-11,0,0,,
2026-04-12,0,1,0%,6
2026-04-13,0,0,,
2026-04-14,0,1,0%,30
2026-04-15,0,8,0%,1
2026-04-16,0,10,0%,1.3
2026-04-17,2,12,16.67%,4.6
2026-04-18,0,8,0%,5.6
2026-04-19,0,4,0%,1
2026-04-20,1,16,6.25%,6.2
2026-04-21,0,7,0%,18.1
2026-04-22,0,9,0%,7.3
2026-04-23,0,5,0%,1.8
2026-04-24,0,4,0%,1
2026-04-25,0,10,0%,11.2
2026-04-26,0,5,0%,7.2
2026-04-27,0,7,0%,3.4
2026-04-28,0,13,0%,7
2026-04-29,0,25,0%,7.7
2026-04-30,0,33,0%,12.3
2026-05-01,1,44,2.27%,9.1
2026-05-02,1,39,2.56%,8.5
2026-05-03,0,60,0%,10.4
2026-05-04,0,67,0%,9.6
2026-05-05,1,77,1.3%,10.2
2026-05-06,0,69,0%,9.6
2026-05-07,0,83,0%,11.7
2026-05-08,1,73,1.37%,9.4
2026-05-09,0,34,0%,17.4
2026-05-10,0,25,0%,6.3
2026-05-11,0,40,0%,10.4
2026-05-12,0,40,0%,12.2
2026-05-13,0,40,0%,9.6
2026-05-14,0,44,0%,9.2