Country,Clicks,Impressions,CTR,Position
South Africa,6,627,0.96%,10.18
Netherlands,1,2,50%,8
Mauritius,1,1,100%,1
United States,0,151,0%,9.36
Brazil,0,19,0%,9
United Kingdom,0,12,0%,18.75
Argentina,0,11,0%,4.82
Vietnam,0,9,0%,3.33
Germany,0,9,0%,7.67
Singapore,0,8,0%,9
Indonesia,0,7,0%,5.71
Colombia,0,7,0%,7
Italy,0,7,0%,7.43
Mexico,0,7,0%,8.43
India,0,6,0%,5.5
Spain,0,6,0%,6.5
Philippines,0,6,0%,11.5
Peru,0,5,0%,2.6
Russia,0,5,0%,2.8
Canada,0,5,0%,5.4
Zimbabwe,0,5,0%,7.2
Congo - Kinshasa,0,5,0%,8
Poland,0,4,0%,5.75
Kenya,0,4,0%,7
Uganda,0,4,0%,9
Zambia,0,4,0%,9
Malaysia,0,3,0%,8
Gabon,0,3,0%,9.67
Taiwan,0,3,0%,27
Czechia,0,2,0%,1
Kazakhstan,0,2,0%,1
Venezuela,0,2,0%,2.5
Bangladesh,0,2,0%,3
Romania,0,2,0%,3
Thailand,0,2,0%,4
Australia,0,2,0%,4.5
Chile,0,2,0%,4.5
Turkey,0,2,0%,4.5
Japan,0,2,0%,5.5
Ukraine,0,2,0%,6
United Arab Emirates,0,2,0%,8
Namibia,0,2,0%,8
Syria,0,2,0%,9
Ecuador,0,2,0%,10
France,0,2,0%,14.5
South Korea,0,2,0%,47.5
Bosnia & Herzegovina,0,1,0%,1
China,0,1,0%,1
Dominican Republic,0,1,0%,1
Egypt,0,1,0%,1
Iraq,0,1,0%,1
Lithuania,0,1,0%,1
Latvia,0,1,0%,1
Morocco,0,1,0%,1
New Zealand,0,1,0%,1
Pakistan,0,1,0%,1
Unknown Region,0,1,0%,1
Nigeria,0,1,0%,3
Panama,0,1,0%,3
Kosovo,0,1,0%,3
Jamaica,0,1,0%,4
Albania,0,1,0%,5
Tanzania,0,1,0%,5
Malawi,0,1,0%,6
Lebanon,0,1,0%,7
Mali,0,1,0%,8
Norway,0,1,0%,8
Swaziland,0,1,0%,8
Benin,0,1,0%,9
Côte d’Ivoire,0,1,0%,9
Hungary,0,1,0%,9
Israel,0,1,0%,9
Austria,0,1,0%,10
Cameroon,0,1,0%,10
Costa Rica,0,1,0%,10
Mozambique,0,1,0%,10
Rwanda,0,1,0%,10
Saudi Arabia,0,1,0%,10
Greece,0,1,0%,13
Portugal,0,1,0%,15
Sweden,0,1,0%,28
Azerbaijan,0,1,0%,78